DESCRIPTION,SHOWROOM COLOR,ALGO HEXA1,ALGO CONFUSED1,ALGO PRECISE1,ALGO HEXA2,ALGO CONFUSED2,ALGO PRECISE2,ALGO HEXA3,ALGO CONFUSED3,ALGO PRECISE3,ALGO HEXA4,ALGO CONFUSED4,ALGO PRECISE4,ALGO HEXA5,ALGO CONFUSED5,ALGO PRECISE5
Sandales à talons   Noir et doré,,#e0c5b1,Silver,Silver,#342c24,Black,Black,#352e27,Black,MidnightBlue,#362d25,Black,Black,#95896a,Gray,Grey
Sandales à talons   Noir et doré,,#e0c5b1,Silver,Silver,#342c24,Black,Black,#352e27,Black,MidnightBlue,#362d25,Black,Black,#96896a,Gray,Grey
Sandales à talons   Camel,,#e5c7af,Silver,LightPink,#8f674b,Gray,DimGrey,#926b50,Gray,DimGrey,#865e47,Gray,DimGrey,#826a49,Gray,DimGrey
Sandales compensées en cuir   Noir, noir,#c59b85,Silver,RosyBrown,#383230,Black,MidnightBlue,#383231,Black,MidnightBlue,#4a453d,Gray,DimGrey,#322d28,Black,MidnightBlue
Sandales compensées en cuir   Noir, noir,#c59b85,Silver,RosyBrown,#383230,Black,MidnightBlue,#383231,Black,MidnightBlue,#4a453d,Gray,DimGrey,#322d28,Black,MidnightBlue
Top motifs fleuris   Beige, beige,#e7ccb7,Silver,Pink,#e7bd97,Silver,Tan,#799abb,Gray,DarkGrey,#e5b892,Silver,Tan,,,
Top motifs fleuris   Beige, beige,#e7ccb7,Silver,Pink,#e7bd97,Silver,Tan,#799abb,Gray,DarkGrey,#e5b892,Silver,Tan,,,
Top motifs fleuris   Beige, beige,#e7ccb7,Silver,Pink,#e7bd97,Silver,Tan,#799abb,Gray,DarkGrey,#e5b892,Silver,Tan,,,
Top dentelle Blanc,,#e9c3aa,Silver,LightPink,#e2d4ca,Silver,LightGrey,#463f42,Gray,DimGrey,#d9b097,Silver,Tan,,,
Top dentelle Blanc,,#e9c3aa,Silver,LightPink,#e2d4ca,Silver,LightGrey,#463f42,Gray,DimGrey,#d9b097,Silver,Tan,,,
Top motifs fleuris Bleu, bleu,#989e98,Gray,DarkGrey,#b8bbb8,Silver,Silver,#a7bed0,Silver,Silver,#8b8073,Gray,Grey,,,
Top motifs fleuris Bleu, bleu,#989e98,Gray,DarkGrey,#b8bbb8,Silver,Silver,#a7bed0,Silver,Silver,#8b8073,Gray,Grey,,,
Top motifs fleuris Bleu, bleu,#989e98,Gray,DarkGrey,#b8bbb8,Silver,Silver,#a7bed0,Silver,Silver,#8b8073,Gray,Grey,,,
Top motifs fleuris Bleu, bleu,#989e98,Gray,DarkGrey,#b8bbb8,Silver,Silver,#a7bed0,Silver,Silver,#8b8073,Gray,Grey,,,
Top motifs fleuris Bleu, bleu,#989e98,Gray,DarkGrey,#b8bbb8,Silver,Silver,#a7bed0,Silver,Silver,#8b8073,Gray,Grey,,,
Top   Blanc, blanc,#e9ba96,Silver,Tan,#e3d6d0,Silver,LightGrey,#373867,Teal,MidnightBlue,#d5b6a6,Silver,Tan,,,
Top   Blanc, blanc,#e9ba96,Silver,Tan,#e3d6d0,Silver,LightGrey,#363867,Teal,MidnightBlue,#d5b6a6,Silver,Tan,,,
Top   Blanc, blanc,#e9ba96,Silver,Tan,#e3d6d0,Silver,LightGrey,#363867,Teal,MidnightBlue,#d5b6a6,Silver,Tan,,,
Top motifs fantaisie   Rouge et bleu, rouge,#eec8b9,Silver,Pink,#d75f50,Gray,Tomato,#3c3438,Black,MidnightBlue,#b88587,Gray,RosyBrown,,,
Top   Blanc et vert, blanc,#c4ccbb,Silver,Silver,#d5bba2,Silver,Tan,#e3b4a1,Silver,Tan,#b3d8d9,Silver,LightBlue,,,
Top   Blanc et vert, blanc,#c4ccbb,Silver,Silver,#d5bba2,Silver,Tan,#e3b4a1,Silver,Tan,#b3d8d9,Silver,LightBlue,,,
Top Noir, noir,#dcd7d2,Silver,LightGrey,#40363f,Black,MidnightBlue,#e2bda8,Silver,Tan,#2d2328,Black,Black,,,
Top Noir, noir,#dcd7d2,Silver,LightGrey,#40363f,Black,MidnightBlue,#e2bda8,Silver,Tan,#2d2328,Black,Black,,,
Top motifs reptile Gris et beige, gris et beige  ,#9f948d,Gray,RosyBrown,#7e716b,Gray,DimGrey,#3b3132,Black,MidnightBlue,#50453e,Gray,DimGrey,,,
Top motifs reptile Gris et beige, gris et beige  ,#9f948d,Gray,RosyBrown,#a89d97,Gray,DarkGrey,#3b3132,Black,MidnightBlue,#50453e,Gray,DimGrey,,,
Top à rayures Rouge, rouge,#d44146,Gray,Crimson,#fd7062,Orange,Salmon,#d5afa5,Silver,Tan,#eaba95,Silver,Tan,,,
Top à rayures Rouge, rouge,#d44146,Gray,Crimson,#fd7062,Orange,Salmon,#d5afa5,Silver,Tan,#eaba95,Silver,Tan,,,
Top à rayures Rouge, rouge,#d44146,Gray,Crimson,#fd7062,Orange,Salmon,#d5afa5,Silver,Tan,#eaba95,Silver,Tan,,,
Top à rayures Rouge, rouge,#d44146,Gray,Crimson,#fd7062,Orange,Salmon,#d5afa5,Silver,Tan,#eaba95,Silver,Tan,,,
T-shirt motifs fleuris   Blanc, blanc et gris-bleu  ,#b7b9c2,Silver,Silver,#b0b3bd,Silver,Silver,#bbb1af,Silver,DarkGrey,#c4c8d0,Silver,LightGrey,,,
Top   Ecru,,#939193,Gray,Grey,#efcbb0,Silver,Moccasin,#453736,Black,MidnightBlue,#795c5a,Gray,DimGrey,,,
Top   Ecru,,#939193,Gray,Grey,#efcbb0,Silver,Moccasin,#453736,Black,MidnightBlue,#795c5a,Gray,DimGrey,,,
Top   Ecru,,#939193,Gray,Grey,#efcbb0,Silver,Moccasin,#453736,Black,MidnightBlue,#795c5a,Gray,DimGrey,,,
Top motif tête de mort Gris, gris   ,#afaeaf,Silver,DarkGrey,#dededd,Silver,LightGrey,#d8b8a7,Silver,Tan,#d2d1d3,Silver,LightGrey,,,
Top motif tête de mort Gris, gris   ,#b0afb0,Silver,DarkGrey,#dededd,Silver,LightGrey,#d8b8a7,Silver,Tan,#d2d1d3,Silver,LightGrey,,,
Top motif tête de mort Gris, gris   ,#afaeaf,Silver,DarkGrey,#dedede,Silver,LightGrey,#d8b8a7,Silver,Tan,#d1d1d2,Silver,LightGrey,,,
Top   Bleu électrique, bleu électrique  ,#60b4fc,Silver,SkyBlue,#4fa9fa,Aqua,MediumTurquoise,#4f4d62,Gray,DimGrey,#438cd3,Gray,RoyalBlue,,,
Top motifs fantaisie   Saumon, saumon,#ddc0bb,Silver,Silver,#eac8b8,Silver,LightPink,#5f5a5c,Gray,DimGrey,#937e88,Gray,Grey,,,
Top motifs fantaisie   Saumon, saumon,#ddc0bb,Silver,Silver,#eac8b8,Silver,LightPink,#5f5a5c,Gray,DimGrey,#937e88,Gray,Grey,,,
Top motifs reptile Ecru et gris, écru et gris  ,#afa6a3,Silver,DarkGrey,#e2dbd7,Silver,LightGrey,#514749,Gray,DimGrey,#544842,Gray,DimGrey,,,
Top motifs fantaisie   Bleu marine, bleu marine,#dcbeb9,Silver,Silver,#d6c8cd,Silver,LightGrey,#596d8b,Gray,DimGrey,#c78c86,Gray,RosyBrown,,,
Top motifs fantaisie   Bleu marine, bleu marine,#dcbeb9,Silver,Silver,#d6c7cc,Silver,LightGrey,#596d8b,Gray,DimGrey,#c78c86,Gray,RosyBrown,,,
Top Corail, corail et doré  ,#f8bdaa,Silver,LightPink,#fdb19f,Silver,LightPink,#dfd3c7,Silver,LightGrey,#fba28b,Silver,Salmon,,,
Top Corail, corail et doré  ,#f8bdaa,Silver,LightPink,#fdb19f,Silver,LightPink,#dfd3c7,Silver,LightGrey,#fba28b,Silver,Salmon,,,
Top   Ecru, écru  ,#b4a9a0,Silver,DarkGrey,#e4b792,Silver,Tan,#b69489,Gray,RosyBrown,#b9ab9c,Silver,DarkGrey,,,
Top   Ecru, écru  ,#b4a9a0,Silver,DarkGrey,#e4b792,Silver,Tan,#b69489,Gray,RosyBrown,#b9ab9c,Silver,DarkGrey,,,
Top   Ecru, écru  ,#b4a9a0,Silver,DarkGrey,#e4b792,Silver,Tan,#b69489,Gray,RosyBrown,#b9ab9c,Silver,DarkGrey,,,
Top   Ecru, écru  ,#b4a9a0,Silver,DarkGrey,#e4b792,Silver,Tan,#b69489,Gray,RosyBrown,#b9ab9c,Silver,DarkGrey,,,
Top   Noir, noir,#52403e,Gray,DimGrey,#f5d2b5,Silver,Moccasin,#dccbc3,Silver,LightGrey,#503c38,Gray,DimGrey,,,
Top Noir, noir et blanc  ,#33282a,Black,MidnightBlue,#373034,Black,MidnightBlue,#e3bca6,Silver,Tan,#40312d,Black,MidnightBlue,,,
Top irisé Bleu majorelle, bleu majorelle  ,#147ccc,Teal,RoyalBlue,#0e71c1,Teal,RoyalBlue,#342e33,Black,MidnightBlue,#dbb190,Silver,Tan,,,
Top irisé Bleu majorelle, bleu majorelle  ,#147ccc,Teal,RoyalBlue,#0e71c1,Teal,RoyalBlue,#342e33,Black,MidnightBlue,#dbb190,Silver,Tan,,,
Top Rouge, rouge  ,#f73e39,Orange,Tomato,#fc4a3b,Orange,Tomato,#dbbfae,Silver,Silver,#eccfb6,Silver,Moccasin,,,
Top en dentelle Ecru, blanc  ,#cfa27b,Silver,Tan,#ddb38b,Silver,Tan,#d4b9a7,Silver,Tan,#aaa8aa,Silver,DarkGrey,,,
Top en dentelle Ecru, blanc  ,#cfa27b,Silver,Tan,#dfe0dc,Silver,LightGrey,#d4b9a7,Silver,Tan,#aaa8aa,Silver,DarkGrey,,,
Blouse motifs fantaisie Rose, rose,#d1b0a9,Silver,Tan,#d0b8b7,Silver,Silver,#da5b50,Gray,Tomato,#dab9b2,Silver,Silver,,,
Top   Rouge, rouge  ,#fc5348,Orange,Tomato,#f94640,Orange,Tomato,#5c4a53,Gray,DimGrey,#fc5245,Orange,Tomato,,,
Top   Rouge, rouge  ,#fc5348,Orange,Tomato,#f94640,Orange,Tomato,#5c4a53,Gray,DimGrey,#fc5245,Orange,Tomato,,,
Top   Rouge, rouge  ,#fc5347,Orange,Tomato,#f94640,Orange,Tomato,#5c4a53,Gray,DimGrey,#fc5245,Orange,Tomato,,,
Top   Rouge, rouge  ,#fc5348,Orange,Tomato,#f94640,Orange,Tomato,#5c4a53,Gray,DimGrey,#fc5245,Orange,Tomato,,,
Top  Blanc, blanc et doré  ,#efcdb3,Silver,Moccasin,#e8c09e,Silver,Tan,#41393d,Black,MidnightBlue,#e6be9f,Silver,Tan,,,
Top  Blanc, blanc et doré  ,#efcdb3,Silver,Moccasin,#e8c09e,Silver,Tan,#41393d,Black,MidnightBlue,#e6be9f,Silver,Tan,,,
Top portefeuille   Noir, noir  ,#393234,Black,MidnightBlue,#383236,Black,MidnightBlue,#dec4b9,Silver,Silver,#d7ac8c,Silver,Tan,,,
Top portefeuille   Noir, noir  ,#393234,Black,MidnightBlue,#383235,Black,MidnightBlue,#dec4b9,Silver,Silver,#d7ac8c,Silver,Tan,,,
Top   Bleu, bleu et argenté  ,#1583c4,Teal,RoyalBlue,#3aa4de,Aqua,MediumTurquoise,#c67d47,Gray,Chocolate,#2b8ac2,Teal,RoyalBlue,,,
Top à rayures Bleu marine et blanc, bleu marine et blanc  ,#3e4579,Teal,DimGrey,#3d4680,Teal,DimGrey,#484c75,Gray,DimGrey,#eacbb4,Silver,Moccasin,,,
Top à rayures Bleu marine et blanc, bleu marine et blanc  ,#3e4579,Teal,DimGrey,#3d4680,Teal,DimGrey,#484c75,Gray,DimGrey,#eacbb4,Silver,Moccasin,,,
Cabas - Noir,,#413e3d,Black,DimGrey,#3e3b38,Black,MidnightBlue,#494846,Gray,DimGrey,,,,,,
Pochette - Argenté,,#4a3639,Black,DimGrey,#a2a2a2,Silver,DarkGrey,#aaa8a5,Silver,DarkGrey,#cfcfcf,Silver,LightGrey,,,
Pochette - Argenté,,#4a3639,Black,DimGrey,#a2a2a2,Silver,DarkGrey,#aaa8a5,Silver,DarkGrey,#cccccc,Silver,LightGrey,,,
Compagnon - Noir,,#3f3b3d,Black,MidnightBlue,#3b383b,Black,MidnightBlue,#d04c59,Gray,Tomato,,,,,,
Pochette - Bleu marine,,#9f787f,Gray,Grey,#999795,Gray,DarkGrey,#9a9894,Gray,DarkGrey,#9c9997,Gray,DarkGrey,,,
Pochette en cuir - Argenté,,#c5c2be,Silver,Silver,#817f7c,Gray,Grey,#72716f,Gray,DimGrey,#7e7c7a,Gray,Grey,,,
Pochette en cuir - Argenté,,#c5c2be,Silver,Silver,#817f7c,Gray,Grey,#72716f,Gray,DimGrey,#7e7c7a,Gray,Grey,,,
Sac bandoulière en cuir - Vieux rose,,#c8af9e,Silver,Tan,#897a66,Gray,Grey,#8e857a,Gray,Grey,#92866e,Gray,Grey,#8c857a,Gray,Grey
Sac bandoulière en nubuck - Camel,,#976846,Gray,DimGrey,#915f3b,Gray,Brown,#785b4a,Gray,DimGrey,,,,,,
Sac bandoulière - Bleu marine,,#393d65,Teal,MidnightBlue,#42425b,Gray,DimGrey,#3c445a,Teal,DimGrey,#5c5e63,Gray,DimGrey,,,
Cabas - Ecru,,#cbc2b6,Silver,Silver,#cec4b9,Silver,Silver,#c9beb3,Silver,Silver,,,,,,
Cabas - Ecru,,#cbc2b6,Silver,Silver,#cec4b9,Silver,Silver,#c9beb3,Silver,Silver,,,,,,
Collier   Turquoise, turquoise,#e2bea0,Silver,Tan,#203142,Black,MidnightBlue,,,,,,,,,
Bracelet   Fuchsia et violet, fuchsia,#e8c3a5,Silver,Tan,#bd756d,Gray,RosyBrown,#bbafaa,Silver,DarkGrey,,,,,,
Bracelet   Fuchsia et violet, fuchsia,#e8c3a5,Silver,Tan,#bd736d,Gray,RosyBrown,#bbafaa,Silver,DarkGrey,,,,,,
Boucles d'oreilles   Fuchsia et violet, fuchsia,#ebc4a0,Silver,Tan,#bdadb1,Silver,DarkGrey,#bba69a,Silver,DarkGrey,,,,,,
Collier   Marron, marron,#e5ccb0,Silver,Moccasin,#e5cabb,Silver,LightGrey,,,,,,,,,
Boucles d'oreilles   Turquoise, turquoise,#f5d6ba,Silver,Moccasin,#8bd5dc,Silver,SkyBlue,#777558,Gray,DimGrey,,,,,,
Collier   Argenté, argenté  ,#f1d1b0,Silver,Moccasin,#e2bd9b,Silver,Tan,#dedede,Silver,LightGrey,,,,,,
Manchette   Argenté, argenté  ,#e7ceb4,Silver,Moccasin,#a0a0a0,Silver,DarkGrey,,,,,,,,,
Ceinture   Noir et doré, noir et doré  ,#c44447,Gray,Brown,#343436,Black,MidnightBlue,,,,,,,,,
Ceinture   Noir et doré, noir et doré  ,#c44447,Gray,Brown,#343436,Black,MidnightBlue,,,,,,,,,
Ceinture   Noir, noir  ,#ca4648,Gray,Crimson,#313031,Black,MidnightBlue,#2c2b2f,Black,MidnightBlue,,,,,,
Ceinture   Camel, camel  ,#e3ba8b,Silver,Tan,#7e5d41,Gray,DimGrey,#946c4b,Gray,DimGrey,,,,,,
Ceinture   Noir, noir et doré  ,#c33e42,Gray,Brown,#373334,Black,MidnightBlue,#343435,Black,MidnightBlue,,,,,,
Foulard  Ecru et turquoise, écru,#dedfdc,Silver,LightGrey,#c5c6c4,Silver,Silver,,,,,,,,,
Foulard  Ecru et marron, écru,#e8e081,Silver,Khaki,#c1bcbe,Silver,Silver,,,,,,,,,
Top   Violet, violet  ,#bd2875,Gray,DarkMagenta,#c72a7e,Gray,DeepPink,#b20e68,Gray,DarkMagenta,#a21e59,Gray,Brown,,,
Top   Violet, violet  ,#bd2875,Gray,DarkMagenta,#c72a7e,Gray,DeepPink,#b20e68,Gray,DarkMagenta,#a21e59,Gray,Brown,,,
Top guipure Ecru, écru  ,#d7bfae,Silver,Silver,#76513d,Gray,DimGrey,#8a705a,Gray,DimGrey,#e1d2c8,Silver,LightGrey,,,
Top guipure Ecru, écru  ,#d7bfae,Silver,Silver,#76503d,Gray,DimGrey,#8a705a,Gray,DimGrey,#e0d0c5,Silver,LightGrey,,,
Top   Blanc, blanc  ,#e2c3a9,Silver,Tan,#e5d5c7,Silver,LightGrey,#2d2939,Black,MidnightBlue,#dec8b6,Silver,LightGrey,,,
Top   Blanc, blanc  ,#e2c3a9,Silver,Tan,#e5d5c7,Silver,LightGrey,#2d2939,Black,MidnightBlue,#dec8b6,Silver,LightGrey,,,
Top   Ecru, écru,#bcc0c3,Silver,Silver,#e5bb9a,Silver,Tan,#d9d9db,Silver,LightGrey,#8d7278,Gray,Grey,,,
Top Blanc, blanc,#deaf8b,Silver,Tan,#e6bc9c,Silver,Tan,#d0c2b4,Silver,Silver,#e6bc9b,Silver,Tan,,,
Top Blanc, blanc,#deaf8b,Silver,Tan,#e6bc9c,Silver,Tan,#d0c2b4,Silver,Silver,#e6bc9b,Silver,Tan,,,
Top dentelle  Rose, rose  ,#fdb6d7,Silver,Pink,#f3bab7,Silver,LightPink,#f2a8ba,Silver,LightPink,#f6bab5,Silver,LightPink,,,
Top dentelle  Rose, rose  ,#fdb6d7,Silver,Pink,#f3bab7,Silver,LightPink,#f2a8ba,Silver,LightPink,#f6bab5,Silver,LightPink,,,
Top Bleu marine, bleu marine  ,#4a517c,Gray,DimGrey,#495689,Gray,DimGrey,#d7b7a8,Silver,Tan,#40476b,Gray,DimGrey,,,
Top   Vert, vert,#9fadab,Silver,DarkGrey,#eac2a6,Silver,LightPink,#d3bbab,Silver,Silver,#bec1a9,Silver,Silver,,,
Top   Vert, vert,#9fadab,Silver,DarkGrey,#eac2a6,Silver,LightPink,#d3bbab,Silver,Silver,#bec1a9,Silver,Silver,,,
Top   Noir, noir  ,#322a30,Black,MidnightBlue,#332b30,Black,MidnightBlue,#3f3231,Black,MidnightBlue,#c1946f,Gray,RosyBrown,#382622,Black,Black
Top   Noir, noir  ,#322a30,Black,MidnightBlue,#332b30,Black,MidnightBlue,#3f3231,Black,MidnightBlue,#c1946f,Gray,RosyBrown,#382622,Black,Black
Top   Noir, noir  ,#322a30,Black,MidnightBlue,#332b30,Black,MidnightBlue,#3f3231,Black,MidnightBlue,#c1946f,Gray,RosyBrown,#382622,Black,Black
Top   Blanc, blanc  ,#c2c4c9,Silver,Silver,#c3c4c9,Silver,Silver,#ceaa99,Silver,Tan,#cbc5c1,Silver,Silver,,,
Top irisé   Turquoise, turquoise  ,#51c0d6,Aqua,MediumTurquoise,#5acbe3,Aqua,MediumTurquoise,#e5bfa7,Silver,Tan,#26a2bf,Teal,MediumTurquoise,,,
Top motifs fantaisie   Ecru et rouge, écru,#e6ccb9,Silver,Pink,#e8c9b3,Silver,LightPink,#223587,Teal,MidnightBlue,#dcc4bb,Silver,LightGrey,,,
Top Blanc, blanc  ,#e3b496,Silver,Tan,#eec6aa,Silver,LightPink,#e6c1a2,Silver,Tan,#e0d2cb,Silver,LightGrey,,,
Top dentelle Fuchsia, fuchsia  ,#f33c86,Gray,DeepPink,#f3778f,Silver,Salmon,#c3b8bd,Silver,Silver,#dc4269,Gray,Tomato,,,
Top dentelle Fuchsia, fuchsia  ,#f33c86,Gray,DeepPink,#f3778f,Silver,Salmon,#c3b8bd,Silver,Silver,#dc4269,Gray,Tomato,,,
Top irisé   Blanc, blanc  ,#ecc6a4,Silver,LightPink,#e6c0a1,Silver,Tan,#3b3439,Black,MidnightBlue,#e6bc97,Silver,Tan,,,
Top irisé  Marron foncé, marron foncé  ,#664a41,Gray,DimGrey,#62473e,Gray,DimGrey,#cd8f53,Gray,DarkKhaki,#583d33,Gray,DimGrey,,,
Top Ecru, écru et doré  ,#ebc2a2,Silver,Tan,#bc7e5d,Gray,RosyBrown,#ceb6ab,Silver,Silver,#d7bba0,Silver,Tan,,,
Top Ecru, écru et doré  ,#ebc2a2,Silver,Tan,#bc7e5d,Gray,RosyBrown,#cdb6ab,Silver,Silver,#d7bba1,Silver,Tan,,,
Top Ecru, écru et doré  ,#ebc2a2,Silver,Tan,#bc7e5d,Gray,RosyBrown,#cdb6ab,Silver,Silver,#d7bba0,Silver,Tan,,,
Top pailleté en lin Ecru, écru   ,#eecfb5,Silver,Moccasin,#ecc5a7,Silver,LightPink,#a18f7e,Gray,RosyBrown,#d1c7b8,Silver,Silver,,,
Top pailleté en lin Ecru, écru   ,#eecfb5,Silver,Moccasin,#ecc5a7,Silver,LightPink,#a18f7e,Gray,RosyBrown,#d2c8b8,Silver,Silver,,,
Top Bordeaux, bordeaux  ,#de5859,Gray,Tomato,#e4595b,Gray,Tomato,#cfae98,Silver,Tan,#c64549,Gray,Brown,,,
Top Bordeaux, bordeaux  ,#de5859,Gray,Tomato,#e4595b,Gray,Tomato,#cfae98,Silver,Tan,#c64549,Gray,Brown,,,
Top irisé   Bleu canard, bleu canard  ,#638fa8,Gray,Grey,#75a4bf,Gray,DarkGrey,#312627,Black,Black,#437f9c,Gray,Grey,,,
Top irisé   Bleu canard, bleu canard  ,#638fa8,Gray,Grey,#75a4bf,Gray,DarkGrey,#312627,Black,Black,#437f9c,Gray,Grey,,,
Top   Ecru, écru,#e4bfa4,Silver,Tan,#e3b48e,Silver,Tan,#89a9c4,Silver,DarkGrey,#8e6a62,Gray,DimGrey,,,
Top   Rose pâle, rose pâle  ,#e9d7d5,Silver,LightGrey,#e9dbd8,Silver,LightGrey,#e8d9d6,Silver,LightGrey,#dab9a6,Silver,Tan,#ddbfba,Silver,Silver
Top   Blanc et noir, blanc,#3d363a,Black,MidnightBlue,#43312a,Black,MidnightBlue,#504c52,Gray,DimGrey,#e7c3a8,Silver,LightPink,,,
Top   Blanc et noir, blanc,#3d363a,Black,MidnightBlue,#43312a,Black,MidnightBlue,#504c52,Gray,DimGrey,#e7c3a8,Silver,LightPink,,,
Top   Ecru, écru,#968691,Gray,Grey,#ebd1bb,Silver,Moccasin,#c9afa7,Silver,Tan,#d3bbb9,Silver,Silver,,,
Top   Blanc, blanc et argenté  ,#eec9af,Silver,LightPink,#cf9e7f,Silver,Tan,#e3c7b6,Silver,LightPink,#e0dcdf,Silver,LightGrey,,,
Top   Blanc, blanc et argenté  ,#eec9af,Silver,LightPink,#cf9e7f,Silver,Tan,#e3c7b6,Silver,LightPink,#e0dcdf,Silver,LightGrey,,,
Top   Bleu, bleu électrique,#2b7fdd,Teal,RoyalBlue,#2275d6,Teal,RoyalBlue,#f57c68,Orange,Salmon,#e7c7ab,Silver,LightPink,,,
Top   Bleu, bleu électrique,#2b7fdd,Teal,RoyalBlue,#2275d6,Teal,RoyalBlue,#f57c68,Orange,Salmon,#e7c7ab,Silver,LightPink,,,
Top Noir, noir  ,#2a2529,Black,Black,#2f2a2e,Black,MidnightBlue,#c3bcbf,Silver,Silver,#181517,Black,Black,,,
Top Noir, noir  ,#2a2529,Black,Black,#302b2f,Black,MidnightBlue,#c3bcbf,Silver,Silver,#181517,Black,Black,,,
Top à franges Blanc, blanc et argenté  ,#d1aea5,Silver,Tan,#d9b491,Silver,Tan,#2d2938,Black,MidnightBlue,#d0b8ac,Silver,Silver,,,
Top à franges Blanc, blanc et argenté  ,#d1aea5,Silver,Tan,#d9b491,Silver,Tan,#2d2938,Black,MidnightBlue,#d0b8ac,Silver,Silver,,,
Top Blanc, blanc,#c7afb0,Silver,Silver,#e9c0a8,Silver,LightPink,#504c53,Gray,DimGrey,#e8d4d4,Silver,LightGrey,,,
Top Blanc, blanc,#c7afb0,Silver,Silver,#e9c0a8,Silver,LightPink,#504c53,Gray,DimGrey,#e8d4d4,Silver,LightGrey,,,
Top   Citron, citron  ,#dcde73,Silver,Khaki,#dbdd71,Silver,Khaki,#decaac,Silver,Silver,#cfd138,Orange,YellowGreen,,,
Top   Citron, citron  ,#dcde73,Silver,Khaki,#dbdd71,Silver,Khaki,#decaac,Silver,Silver,#cfd138,Orange,YellowGreen,,,
Top irisé   Kaki foncé, kaki foncé  ,#6f6655,Gray,DimGrey,#5c5342,Gray,DimGrey,#5d7099,Gray,Grey,#4b4433,Green,DimGrey,,,
Top irisé   Kaki foncé, kaki foncé  ,#6f6655,Gray,DimGrey,#5c5342,Gray,DimGrey,#5d7099,Gray,Grey,#4b4433,Green,DimGrey,,,
Top irisé   Vert d'eau, vert d'eau  ,#e9caaf,Silver,Moccasin,#cfdbdb,Silver,LightGrey,#3b3447,Black,MidnightBlue,#e5ba9b,Silver,Tan,,,
Top irisé   Vert d'eau, vert d'eau  ,#e9caaf,Silver,Moccasin,#cfdbdb,Silver,LightGrey,#3b3447,Black,MidnightBlue,#e5ba9b,Silver,Tan,,,
Top irisé   Vert d'eau, vert d'eau  ,#e9caaf,Silver,Moccasin,#cfdbdb,Silver,LightGrey,#3b3447,Black,MidnightBlue,#e5ba9c,Silver,Tan,,,
Top à sequins   Blanc, blanc et argenté  ,#d1cecf,Silver,LightGrey,#e8bfa1,Silver,Tan,#a9b5c6,Silver,Silver,#c5b1a8,Silver,Silver,,,
Top à sequins Noir, noir  ,#322827,Black,Black,#393034,Black,MidnightBlue,#e9c5b1,Silver,LightPink,#3c2c28,Black,MidnightBlue,,,
Top motif tropical Blanc, blanc,#cfb98e,Silver,Tan,#dbb18b,Silver,Tan,#735b42,Gray,DimGrey,#d8b696,Silver,Tan,,,
Top Noir, noir  ,#2b2629,Black,Black,#262125,Black,Black,#d6b5a2,Silver,Tan,#2b272b,Black,MidnightBlue,,,
Top Noir, noir  ,#2b2629,Black,Black,#262125,Black,Black,#d6b5a2,Silver,Tan,#2b272b,Black,MidnightBlue,,,
Top dentelle Ecru, écru  ,#e7c1a3,Silver,Tan,#dcbaa4,Silver,Tan,#dedbd9,Silver,LightGrey,#dfdbd5,Silver,LightGrey,,,
Top   Moutarde, moutarde  ,#e4da59,Yellow,Khaki,#dbce46,Orange,DarkKhaki,#bbb9bc,Silver,Silver,#baa60a,Orange,YellowGreen,,,
Top en dentelle Ecru, écru  ,#d8d1ca,Silver,LightGrey,#dddad6,Silver,LightGrey,#454957,Gray,DimGrey,#dbd1c5,Silver,LightGrey,,,
Top dentelle Blanc, blanc et noir  ,#dfc0ad,Silver,Silver,#ecc5a8,Silver,LightPink,#5a5356,Gray,DimGrey,#48352b,Black,DimGrey,,,
Top   Fuchsia, fuchsia et doré  ,#eecaa8,Silver,Moccasin,#d83f77,Gray,DeepPink,#e4c2af,Silver,LightPink,#e7c9ae,Silver,LightPink,,,
Top   Fuchsia, fuchsia et doré  ,#eecaa8,Silver,Moccasin,#d83f77,Gray,DeepPink,#e4c2af,Silver,LightPink,#e7c9ae,Silver,LightPink,,,
Top   Fuchsia, fuchsia et doré  ,#eecba8,Silver,Moccasin,#d83f77,Gray,DeepPink,#e4c2af,Silver,LightPink,#e7c9ae,Silver,LightPink,,,
Top en guipure Rose, rose  ,#f886b6,Silver,LightPink,#fb81ab,Silver,LightPink,#ecaab2,Silver,LightPink,#fa7ca9,Silver,Salmon,,,
Top en guipure Rose, rose  ,#f886b6,Silver,LightPink,#fb81ab,Silver,LightPink,#ecaab2,Silver,LightPink,#fa7ca9,Silver,Salmon,,,
Top en guipure Rose, rose  ,#f886b6,Silver,LightPink,#fb81ab,Silver,LightPink,#ecaab2,Silver,LightPink,#fa7ca9,Silver,Salmon,,,
Top en guipure Rose, rose  ,#f886b6,Silver,LightPink,#fb81ab,Silver,LightPink,#ecaab2,Silver,LightPink,#fa7ca9,Silver,Salmon,,,
Blouse motifs fleuris  Indigo, indigo,#bcbfc4,Silver,Silver,#80767b,Gray,Grey,#e1beaf,Silver,LightPink,#c5c7c9,Silver,Silver,,,
Blouse motifs fleuris  Indigo, indigo,#bcbfc4,Silver,Silver,#80767c,Gray,Grey,#e1beaf,Silver,LightPink,#c6c7c9,Silver,Silver,,,
